date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:14	297/297	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2018%20May%202020%2014:11:54%20GMT	http://slimhamdi.net/tunis/dark/js/preloader.min.js	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/js/preloader.min.js	(from http://slimhamdi.net/tunis/dark/index.html)
11:55:15	2419/2419	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2018%20May%202020%2014:11:52%20GMT	http://slimhamdi.net/tunis/dark/js/fm.revealator.jquery.min.js	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/js/fm.revealator.jquery.min.js	(from http://slimhamdi.net/tunis/dark/index.html)
11:55:15	89493/89493	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2018%20May%202020%2014:11:53%20GMT	http://slimhamdi.net/tunis/dark/js/jquery-3.5.0.min.js	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/js/jquery-3.5.0.min.js	(from http://slimhamdi.net/tunis/dark/index.html)
11:55:16	6893/6893	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2018%20May%202020%2014:11:52%20GMT	http://slimhamdi.net/tunis/dark/js/imagesloaded.pkgd.min.js	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/js/imagesloaded.pkgd.min.js	(from http://slimhamdi.net/tunis/dark/index.html)
11:55:17	25081/25081	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2018%20May%202020%2014:11:53%20GMT	http://slimhamdi.net/tunis/dark/js/masonry.pkgd.min.js	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/js/masonry.pkgd.min.js	(from http://slimhamdi.net/tunis/dark/index.html)
11:55:17	1835/1835	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2018%20May%202020%2014:11:50%20GMT	http://slimhamdi.net/tunis/dark/js/classie.js	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/js/classie.js	(from http://slimhamdi.net/tunis/dark/index.html)
11:55:21	12200/12200	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2018%20May%202020%2014:11:49%20GMT	http://slimhamdi.net/tunis/dark/js/cbpGridGallery.js	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/js/cbpGridGallery.js	(from http://slimhamdi.net/tunis/dark/index.html)
11:55:23	5307/5307	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2018%20May%202020%2014:11:52%20GMT	http://slimhamdi.net/tunis/dark/js/jquery.hoverdir.js	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/js/jquery.hoverdir.js	(from http://slimhamdi.net/tunis/dark/index.html)
11:55:44	135079/135079	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2018%20May%202020%2014:11:50%20GMT	http://slimhamdi.net/tunis/dark/js/bootstrap.js	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/js/bootstrap.js	(from http://slimhamdi.net/tunis/dark/index.html)
11:55:45	4466/4466	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2018%20May%202020%2014:11:50%20GMT	http://slimhamdi.net/tunis/dark/js/custom.js	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/js/custom.js	(from http://slimhamdi.net/tunis/dark/index.html)
11:55:58	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2018%20May%202020%2014:11:38%20GMT	http://slimhamdi.net/tunis/dark/fonts/fontawesome-webfont.eot?v=4.7.0	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/fonts/fontawesome-webfont3e6e.eot	(from http://slimhamdi.net/tunis/dark/css/font-awesome.min.css)
11:55:58	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2018%20May%202020%2014:11:38%20GMT	http://slimhamdi.net/tunis/dark/fonts/fontawesome-webfont.eot?	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/fonts/fontawesome-webfontd41d.eot	(from http://slimhamdi.net/tunis/dark/css/font-awesome.min.css)
11:56:15	98024/98024	---M--	200	added ('OK')	application/x-font-woff	date:Mon,%2018%20May%202020%2014:11:44%20GMT	http://slimhamdi.net/tunis/dark/fonts/fontawesome-webfont.woff?v=4.7.0	D:/JAFAR_ALI/Tamplate/portfolio/slimhamdi.net/tunis/dark/fonts/fontawesome-webfont3e6e.woff	(from http://slimhamdi.net/tunis/dark/css/font-awesome.min.css)
